idtrip,date,cityid,passengertype,distance_km,fareamount,passengerrating,driverrating,pickuptime
1015,2024-02-29,18,new,28.1,49.24,3.4,4.1,1:53:32
1016,2024-01-01,14,old,7.1,71.63,4.4,4.6,23:32:36
1017,2024-02-20,4,new,6.8,55.28,3.3,3.9,5:42:27
1018,2024-02-17,13,old,6.6,56.13,4.9,3.8,22:21:29
1019,2024-01-25,3,new,32.3,85.68,3,3.7,3:53:38
1020,2024-02-02,2,old,15.9,24.18,4,4.9,14:56:25
1021,2024-01-04,18,old,26.7,35.43,4.4,4.9,3:06:14
1022,2024-02-04,10,new,11.8,8.23,4.9,3.6,2:23:28
1023,2024-02-29,6,old,28.3,78.56,4.4,3.8,15:15:31
1024,2024-01-21,1,new,17.2,24.6,3.2,3.7,23:47:11
1025,2024-01-09,3,old,13.7,36.18,4.4,3.6,19:32:06
1026,2024-01-29,11,new,19.1,39.32,4.8,4.2,4:00:55
1027,2024-02-07,7,old,14.8,34.42,4.4,3.8,0:58:17
1028,2024-02-01,10,new,3.7,87.79,3,5,0:45:44
1029,2024-01-02,18,old,9.6,32.12,4,4.1,12:59:52
1030,2024-01-02,2,old,26.4,29.15,3.2,4.3,5:21:00
1031,2024-01-25,2,new,2.3,79.01,3.3,4.1,19:34:14
1032,2024-01-28,20,new,9.5,25.41,4.4,4.8,0:54:59
1033,2024-01-06,14,old,7.4,26.24,4.4,4.1,6:46:34
1034,2024-02-16,11,new,10.5,51.45,4.9,4.9,4:25:59
1035,2024-01-21,14,new,17.9,55.22,4.5,4.6,1:07:24
1036,2024-02-21,19,new,2.1,57.04,3.6,3.6,10:06:04
1037,2024-02-19,1,old,25.1,68.55,4.2,4.3,1:55:54
1038,2024-01-06,17,new,9.6,39.07,4.2,4.1,16:49:06
1039,2024-02-21,13,old,17.7,16.47,4.6,3.6,17:12:14
1040,2024-01-22,18,new,4.3,38.51,3.6,4.5,11:49:14
1041,2024-02-01,4,new,33.8,23.68,3.8,4.6,7:55:17
1042,2024-02-06,12,old,10.6,53.1,3.4,3.6,6:23:12
1043,2024-02-01,14,old,5.8,54.25,4.2,4.4,23:39:48
1044,2024-02-05,18,old,31.9,74.46,4.8,4.3,2:32:06
1045,2024-02-07,5,new,33.1,39.38,4,4.7,22:55:35
1046,2024-02-24,3,old,29.1,64.59,3.4,4.2,0:47:58
1047,2024-02-22,18,old,11,69.35,5,3.8,13:34:31
1048,2024-01-29,9,new,7.2,78.88,4.2,4.4,5:49:56
1049,2024-01-27,1,new,30.8,39.14,3.7,4.6,3:32:28
1050,2024-02-09,13,new,30.1,68.52,4.4,3.8,12:31:11
1051,2024-01-21,7,new,17.3,23.85,4.5,4.9,23:43:05
1052,2024-02-14,13,new,34.5,58.44,3.5,3.6,21:20:40
1053,2024-01-23,11,new,7.8,43.94,3.1,4.3,12:45:08
1054,2024-02-27,19,old,19.2,84.79,4.5,4.7,4:00:01
1055,2024-02-18,17,old,23,14.45,3.4,3.5,6:46:26
1056,2024-01-05,11,new,14.2,67.07,3.9,4.7,1:44:33
1057,2024-02-04,4,new,6.8,84.21,3,4.4,10:39:28
1058,2024-02-03,11,new,17,60.63,3.6,3.6,6:26:20
1059,2024-01-20,12,new,26.1,87.08,4.9,4.1,21:25:41
1060,2024-02-15,5,old,24.1,58.32,3.7,3.7,1:12:16
1061,2024-01-15,10,new,17,42.17,3.7,4.1,22:39:16
1062,2024-02-06,9,new,29.3,56.49,3.1,4.9,20:30:00
1063,2024-01-11,4,old,11.2,85.98,4.7,3.8,1:00:24
1064,2024-01-16,17,new,31.9,8.84,3.1,4.8,13:04:52
1065,2024-01-19,13,old,17.6,82.2,3.9,4.2,5:39:57
1066,2024-02-02,15,old,19.7,30.32,3.9,4,12:05:42
1067,2024-01-09,19,old,11.7,75.84,4.2,4.2,10:02:17
1068,2024-02-27,3,old,21.1,38.09,3.6,4.2,6:04:44
1069,2024-02-03,6,old,18.1,14.7,3.1,4.2,20:52:49
1070,2024-01-02,15,old,12.2,6.83,4.5,3.7,0:55:10
1071,2024-01-09,17,old,21,86.59,4.1,4,17:11:17
1072,2024-02-29,12,old,13.5,64.14,4.2,3.7,2:52:12
1073,2024-01-14,9,new,24,80.15,4.1,5,4:37:49
1074,2024-01-24,7,old,23.7,42.04,3.6,4.7,15:01:43
1075,2024-02-21,15,old,21.2,65.88,4.7,3.5,15:49:30
1076,2024-02-03,11,new,2.2,22.63,3.8,3.6,18:33:10
1077,2024-02-08,17,new,23.6,85.66,4.8,4.9,7:34:34
1078,2024-02-24,19,old,24.3,50.05,3.2,4,4:31:46
1079,2024-02-17,2,new,22.3,82.16,3.7,3.8,3:15:08
1080,2024-02-16,10,old,4.3,54.99,4.2,3.7,19:55:26
1081,2024-02-29,17,new,29.1,51.74,5,4.9,8:44:16
1082,2024-02-08,3,old,14.5,62.15,3.3,4,7:17:12
1083,2024-02-11,14,new,28.2,36.71,5,3.8,9:28:05
1084,2024-01-05,19,old,2.1,55.71,3.3,4.6,21:03:27
1085,2024-02-26,15,old,8.5,34.55,4.1,4.4,8:47:25
1086,2024-01-23,19,new,10.3,34.18,4.9,4,9:34:32
1087,2024-01-31,19,new,2.4,71.97,4.5,4.9,11:40:21
1088,2024-02-26,20,new,6.3,20.26,4.8,3.8,22:38:01
1089,2024-01-15,1,old,7.8,63.8,3.9,3.8,21:49:59
1090,2024-01-16,18,old,26.1,58.89,4.6,3.6,11:26:39
1091,2024-01-18,13,new,31.4,80.58,4.4,3.7,1:30:13
1092,2024-01-22,2,new,9.5,51.89,3.8,4.2,4:09:50
1093,2024-02-13,13,old,2.1,6.16,4.2,3.7,15:19:44
1094,2024-02-05,16,new,14.4,12.35,3.7,4.1,18:20:26
1095,2024-01-03,9,new,4.7,67.92,3.2,3.5,3:30:47
1096,2024-01-11,20,new,23.1,31.08,4.5,4.7,12:32:08
1097,2024-01-28,16,new,27.1,22.45,4.9,4.2,21:53:52
1098,2024-01-26,7,new,24.2,11.88,4.4,3.7,14:08:15
1099,2024-01-30,14,new,9.7,46.49,4.3,3.8,12:34:48
1100,2024-02-17,12,new,1,44.39,4,3.8,16:18:46
1101,2024-01-16,12,old,25.4,34.23,4.8,4.6,12:03:23
1102,2024-01-01,9,old,15.2,84.58,5,4.6,5:16:48
1103,2024-01-01,10,old,15.2,14.2,3.8,4.3,15:27:16
1104,2024-02-09,13,new,33.9,46.64,4.5,4.8,15:19:33
1105,2024-02-21,11,new,27.5,16.96,3.2,3.9,13:22:31
1106,2024-01-14,19,old,25.9,87.21,5,4.8,16:46:19
1107,2024-01-05,17,new,6.2,70.71,4,4.1,2:08:38
1108,2024-01-10,11,new,13.8,29.58,4.4,4.8,2:50:44
1109,2024-02-03,15,new,22.5,54.08,4.7,4.2,4:57:32
1110,2024-01-04,13,new,4.1,72.97,3.3,4.3,13:43:17
1111,2024-02-07,16,old,6.6,80.67,4.9,3.7,15:30:51
1112,2024-01-21,14,new,10.8,23.41,3.7,3.7,5:00:24
1113,2024-02-24,18,new,19.4,30.53,3.3,4.1,1:03:15
1114,2024-02-06,18,new,21.2,23.56,3.8,4.9,8:39:14
1115,2024-02-23,5,new,4.4,85.24,4.1,4.1,5:46:39
1116,2024-02-05,15,old,1.1,20.5,3.5,4.8,20:30:50
1117,2024-02-05,1,old,15.6,38.16,4.1,3.7,13:48:06
1118,2024-02-25,12,new,14.1,12.68,4.5,4.2,11:47:11
1119,2024-02-24,12,old,1.3,13.76,4.7,4.1,4:15:28
1120,2024-01-23,16,old,21.6,37.01,3.5,4.4,13:00:31
1121,2024-01-27,7,old,3.7,30.89,4,3.6,13:31:48
1122,2024-02-29,2,new,25.9,29.32,4.7,3.6,5:36:22
1123,2024-01-28,9,new,19.6,47.14,4.2,3.8,20:37:23
1124,2024-01-04,16,new,28.7,5.68,4.1,3.9,22:28:07
1125,2024-01-26,16,old,17.9,56.42,3.4,4,9:42:02
1126,2024-01-21,10,new,22.9,32.65,3.2,3.9,20:11:26
1127,2024-02-25,9,old,30,40.31,3.4,4.6,4:07:16
1128,2024-01-26,12,old,2.4,73.76,4,3.6,20:07:52
1129,2024-01-16,8,new,31.6,11.64,3.3,4.2,18:35:04
1130,2024-02-07,17,old,17.1,33.1,4.2,4.8,12:17:58
1131,2024-01-14,9,new,29.4,68.48,4.3,3.8,16:16:41
1132,2024-02-25,7,new,32.3,87.15,4.7,4.3,14:21:43
1133,2024-02-07,12,new,10.8,7.6,4.5,4.9,21:36:36
1134,2024-01-19,14,new,23.9,38.61,3.9,4.6,8:12:34
1135,2024-01-13,18,old,22.1,40.59,4.9,4.4,20:58:21
1136,2024-02-18,1,new,3,47.59,3.6,4.7,8:58:03
1137,2024-02-05,10,old,31,78.55,3.8,4.7,7:11:27
1138,2024-01-16,12,new,21.8,47.35,4.5,4.2,15:43:07
1139,2024-01-05,1,new,7.7,23.96,4.6,3.6,1:07:50
1140,2024-01-27,2,old,1.4,54.76,3.2,3.7,19:12:51
1141,2024-01-19,3,old,2.4,69.37,3.9,4.4,2:49:46
1142,2024-02-25,3,old,1.1,35.07,4.8,3.6,21:22:52
1143,2024-02-07,17,new,28.1,24.01,3.2,4.6,5:05:09
1144,2024-01-08,15,new,15,38.69,3.1,4.6,12:56:17
1145,2024-02-24,9,new,10.1,56.94,4.5,3.9,11:32:54
1146,2024-01-17,9,new,24.8,82.5,4.6,4,17:30:20
1147,2024-01-15,19,old,4.4,59.12,3.9,4,9:23:36
1148,2024-01-31,11,old,10.5,81.19,3.6,4.7,22:28:50
1149,2024-02-22,7,new,31.6,72.69,4.9,4.2,2:07:39
1150,2024-01-04,1,old,24.7,77.51,3.5,3.6,13:33:27
1151,2024-01-30,9,old,24.5,49.76,4.4,4.6,8:43:47
1152,2024-01-20,10,new,19.7,85.72,3.7,4.3,3:21:31
1153,2024-02-29,8,new,10,67.32,4.7,4,5:11:08
1154,2024-02-14,17,old,6.5,89.54,3.9,4.1,15:43:40
1155,2024-01-29,18,old,32.8,44.53,4.4,3.9,10:24:48
1156,2024-01-07,16,new,21.8,15.54,4.5,4.7,8:29:35
1157,2024-01-24,3,old,29.8,53.51,3.7,4.1,11:35:11
1158,2024-01-17,6,old,12.9,11.06,4.6,3.7,3:24:41
1159,2024-02-03,14,new,32.6,85.7,3.2,3.9,23:00:27
1160,2024-01-13,18,new,1.9,54.67,4.9,3.9,20:03:20
1161,2024-02-21,15,old,34.1,21.13,3.2,3.7,4:48:57
1162,2024-01-29,2,old,3.1,81.27,4.3,3.5,9:10:18
1163,2024-01-12,10,old,25.8,33.14,4.5,3.9,12:53:17
1164,2024-02-08,1,new,7.6,55.79,4.6,4.6,18:57:56
1165,2024-02-10,7,old,30.9,23.63,4.5,3.7,16:11:18
1166,2024-01-30,5,old,1.8,61.48,4.6,4.1,12:36:01
1167,2024-01-22,2,old,12.3,35.44,3.7,5,8:05:02
1168,2024-01-06,19,old,5.9,11.07,4.8,4.3,22:37:34
1169,2024-02-27,16,old,4.1,45.55,4.1,3.9,11:32:22
1170,2024-01-28,13,old,26.1,56.82,3.7,4,23:01:15
1171,2024-02-29,1,new,1.2,88.83,4.3,4.8,16:19:42
1172,2024-01-04,13,old,10.1,36.91,3.2,5,21:21:09
1173,2024-01-25,13,new,27.8,19.81,4.8,4.2,17:58:52
1174,2024-01-07,19,old,13.4,55.43,3.2,3.5,6:42:45
1175,2024-01-12,11,new,7.8,84.33,4.6,3.9,16:02:00
1176,2024-02-17,5,new,35,73.01,3.7,4.1,6:27:36
1177,2024-02-27,11,old,24.5,7.64,3.6,4.6,2:08:39
1178,2024-02-02,15,new,6.2,86.69,3.6,3.9,16:26:58
1179,2024-01-05,4,old,33.8,49.7,4.6,4.7,1:16:05
1180,2024-01-20,12,new,27.1,17.28,3.9,5,3:34:43
1181,2024-02-14,9,new,30.5,32.5,4.7,4.6,9:06:57
1182,2024-01-18,17,new,10,10.19,3,3.9,12:27:46
1183,2024-01-08,7,new,34.5,28.08,3.4,4.6,23:24:18
1184,2024-01-18,20,new,8.6,47.3,3.4,4,7:37:05
1185,2024-01-13,9,new,28.4,23.86,3.5,4.5,9:53:49
1186,2024-02-07,17,old,21.6,42.26,3,4.3,15:38:30
1187,2024-01-01,11,old,25.2,23.57,4.7,5,12:06:45
1188,2024-02-04,4,old,24.8,53.54,4.3,5,15:03:05
1189,2024-01-16,13,old,28.4,74.24,3.7,4.1,11:04:57
1190,2024-01-14,3,new,24.7,59.51,4.6,4.4,14:43:54
1191,2024-02-22,17,new,10.9,85.38,3.6,4.3,15:17:12
1192,2024-01-30,8,new,14.1,33.49,3.9,4.1,10:40:19
1193,2024-01-21,15,new,6.6,46.28,3.1,4.6,7:03:12
1194,2024-02-01,5,old,9.9,77.14,5,4.1,17:50:17
1195,2024-02-26,17,old,2,85.16,3.5,3.9,20:17:54
1196,2024-01-15,17,old,20,22.08,4.9,3.9,18:47:23
1197,2024-02-17,8,new,33.3,51.21,3.9,4.6,16:25:29
1198,2024-01-10,9,new,16.2,72.33,3.6,3.8,19:35:05
1199,2024-01-19,10,old,6,68.17,4.3,4.6,13:22:46
1200,2024-01-08,7,new,28,36.27,4.8,4.5,16:58:18
1201,2024-02-08,8,old,6,85.82,4.4,4.5,19:33:14
1202,2024-02-08,19,new,30.2,67.5,3.3,3.9,21:51:29
1203,2024-01-12,20,new,31.5,60.01,4.7,3.6,11:38:39
1204,2024-01-11,1,old,28.1,23.42,4.8,4,1:24:10
1205,2024-02-09,18,old,14.4,5.06,4.6,4,1:32:41
1206,2024-02-04,17,new,31.7,66.25,3.6,3.8,20:39:51
1207,2024-02-15,12,old,34.2,37.09,4.3,4.3,5:05:12
1208,2024-01-01,14,new,11.5,60.95,3.2,4,4:28:47
1209,2024-02-25,12,old,27.5,14.87,4.5,3.9,7:48:26
1210,2024-01-21,12,new,21.8,83.58,4.2,4.8,22:43:23
1211,2024-02-22,15,old,21.9,18.59,4.2,4.3,14:34:42
1212,2024-01-26,10,new,33.8,76.73,4.9,3.9,7:51:51
1213,2024-02-07,3,old,5.9,19.26,4,3.5,3:36:30
1214,2024-02-01,2,new,12.6,69.24,3.2,5,15:38:57
1215,2024-02-23,19,old,22.6,8.57,4.1,5,17:54:54
1216,2024-01-04,7,old,24.9,82.8,4.1,3.6,6:00:38
1217,2024-01-29,11,new,14,27.42,4.4,5,21:50:15
1218,2024-02-12,1,old,19.2,63.63,4.1,4.3,22:13:33
1219,2024-02-21,17,new,19,45.46,3.6,4.2,20:23:40
1220,2024-01-12,3,new,5.6,84.56,3.3,3.6,11:03:10
1221,2024-01-30,3,old,17.6,60.28,3.2,5,19:43:51
1222,2024-01-01,5,new,21.2,49.46,4.9,4.3,8:31:33
1223,2024-01-06,6,new,1.8,47.39,3.7,4.2,1:37:14
1224,2024-02-22,12,new,30.8,22.33,4.6,3.5,14:58:05
1225,2024-01-12,8,new,28.7,12.75,3.5,4.9,22:34:04
1226,2024-02-21,10,new,28.8,29.9,4.4,4.1,14:36:04
1227,2024-01-08,20,old,22.1,31.85,3,4.8,11:22:08
1228,2024-02-29,7,new,14.4,28.31,3,3.9,11:14:40
1229,2024-01-05,19,new,12.3,51.02,4.2,4.5,18:17:04
1230,2024-02-22,19,old,10.6,13.91,4,4.6,4:18:00
1231,2024-02-09,1,old,24.9,89.96,3.9,4.6,7:48:24
1232,2024-02-10,17,new,10.2,17.73,4.3,4.8,13:29:24
1233,2024-02-22,18,new,24.5,48.53,4.4,4.4,15:56:48
1234,2024-02-24,16,old,16.9,30.74,4.9,3.8,10:17:40
1235,2024-01-16,15,old,5.3,72.31,4.7,4.8,17:29:21
1236,2024-02-09,13,old,32,39.93,3.3,5,4:36:02
1237,2024-02-14,15,old,20.9,73.72,3.3,4.2,15:26:54
1238,2024-01-03,7,new,18.9,62.54,4.8,3.7,16:17:00
1239,2024-02-28,20,old,34.2,65.22,3.5,4.3,16:30:43
1240,2024-01-25,19,old,9.5,25.75,4,4.8,0:31:47
1241,2024-01-23,3,old,27.2,53.25,4.7,4.9,21:56:49
1242,2024-02-27,7,new,6.1,63.23,3.1,3.8,19:43:53
1243,2024-02-08,4,new,34.9,64.52,3.5,4.7,20:11:16
1244,2024-02-10,7,old,6.9,64.26,4.9,4.5,21:39:17
1245,2024-01-18,12,old,16.2,46.59,4.9,3.5,10:56:12
1246,2024-02-19,20,new,5.4,56.26,4.2,3.7,11:00:34
1247,2024-02-01,15,old,14.9,64.67,3.2,4.9,17:37:24
1248,2024-02-16,12,new,32.2,40.2,4.9,3.9,13:23:25
1249,2024-02-07,17,new,32,20.55,4.4,4.6,11:20:52
1250,2024-02-27,7,old,10.8,34.68,4.5,4.1,18:49:12
1251,2024-02-14,12,new,32.8,76.08,4.2,4.3,19:35:59
1252,2024-01-06,13,new,4.6,11.41,4.9,4.4,5:11:55
1253,2024-01-16,3,new,18.2,40.22,4.7,4.4,10:46:51
1254,2024-02-15,6,old,23.8,5.37,4.5,4.5,6:49:13
1255,2024-01-09,20,old,31.3,9.17,3.7,4.3,19:42:08
1256,2024-02-10,8,old,8.1,13.29,4.8,4.5,2:58:25
1257,2024-02-16,19,old,17,28.14,4,4.4,9:24:04
1258,2024-02-18,6,new,31.8,75.67,5,3.7,15:44:32
1259,2024-01-20,16,old,8.6,52.29,4.4,3.8,16:50:43
1260,2024-02-02,10,new,26.7,73.46,4.5,4.4,4:33:51
1261,2024-02-06,6,new,14.1,70.98,4.8,4.7,3:52:34
1262,2024-01-29,16,old,26.2,28.74,4.1,4.1,10:25:11
1263,2024-02-26,17,new,7.5,80.22,3.8,4.1,18:22:54
1264,2024-02-26,5,new,22,23.32,4.4,4.3,23:11:43
1265,2024-01-30,2,new,14.1,30.12,4.3,3.5,7:15:59
1266,2024-01-21,20,new,8.8,41.33,4.6,4.1,2:57:38
1267,2024-02-13,7,new,16.1,68.31,4.8,5,17:39:05
1268,2024-02-25,2,old,11.2,63.19,4.6,4.9,18:52:48
1269,2024-02-15,4,old,4.6,80.58,4.5,4.6,5:02:07
1270,2024-01-25,19,old,25.9,9.6,3.2,4.3,6:56:48
1271,2024-01-28,1,old,27.1,63.93,3.6,4.5,13:59:27
1272,2024-02-28,17,new,15.8,80.97,4.1,3.6,2:47:36
1273,2024-01-12,12,old,19.9,78.91,3.1,4.6,5:14:31
1274,2024-02-29,15,old,16.7,48.23,5,4.6,16:46:53
1275,2024-02-05,2,new,13.3,73.7,4.4,4.4,16:17:21
1276,2024-02-05,6,new,31.6,60.99,4.5,3.5,4:00:00
1277,2024-01-20,13,new,5.4,39.25,3.5,4.8,20:40:23
1278,2024-02-16,9,new,26.4,81.26,4.1,4.2,8:33:03
1279,2024-01-16,18,new,12.5,86.03,5,3.8,18:13:24
1280,2024-02-14,10,old,9,80.15,4.8,3.8,20:25:58
1281,2024-01-06,15,new,3.3,33.01,3.7,4.2,12:25:20
1282,2024-02-12,13,old,16.7,37.62,4.1,4.7,2:54:51
1283,2024-02-14,2,old,24.4,58.01,5,4.6,1:30:42
1284,2024-01-25,8,new,7.6,75.62,3.8,5,2:19:41
1285,2024-01-01,9,old,2.9,62.74,3.5,4.6,13:17:11
1286,2024-02-07,17,new,8.6,55.71,4.3,4.5,13:29:28
1287,2024-01-25,8,new,26.1,87.72,4.5,3.6,21:34:27
1288,2024-02-10,14,old,3.6,70.67,4.5,3.7,12:19:09
1289,2024-01-28,17,old,34.8,10.18,3.8,4.5,10:40:09
1290,2024-02-28,16,old,19.4,9.1,3.4,4,1:31:46
1291,2024-01-07,18,old,10.7,5.34,5,4.5,15:00:41
1292,2024-01-12,9,old,34.9,29.04,4.7,4.3,3:30:46
1293,2024-02-23,4,new,4.4,29.86,4.8,4.4,7:44:29
1294,2024-01-16,12,new,12.5,82.14,4.4,3.8,5:56:21
1295,2024-02-20,8,new,33.2,31.31,3.1,4.9,12:00:47
1296,2024-01-11,7,old,9,57.76,4.2,4.8,13:18:12
1297,2024-01-29,7,new,27.2,76.12,3.5,4.7,11:41:06
1298,2024-01-18,20,old,27.3,70.28,4.4,3.6,22:50:32
1299,2024-02-21,9,new,20.8,77.18,4.5,3.8,9:48:45
1300,2024-02-28,8,new,18.3,76.71,4.3,4.5,0:20:28
1301,2024-02-28,6,new,6.6,7.88,3.4,4.4,6:03:10
1302,2024-01-12,12,new,13.5,46.32,4.4,4.6,0:45:00
1303,2024-02-01,12,old,18.8,70.33,4.7,4.8,11:51:21
1304,2024-01-27,4,old,13.3,45.57,4.3,3.7,15:57:50
1305,2024-02-20,11,new,28.1,85.71,3,4,6:32:25
1306,2024-02-11,5,old,31.1,84.67,4.5,4,1:50:24
1307,2024-02-14,2,old,23.3,78.36,4.6,4,14:02:02
1308,2024-02-12,4,old,21.1,81.44,4.6,4.8,18:20:42
1309,2024-01-31,4,new,28.7,50.17,4.7,3.8,9:38:41
1310,2024-01-12,17,old,19.2,15.35,3.3,4.7,16:49:49
1311,2024-01-22,14,old,24.3,21.22,4.3,4,8:51:06
1312,2024-02-03,8,old,14.5,38.41,3.1,3.8,14:38:28
1313,2024-01-03,15,new,13.2,87.12,4.9,3.9,10:33:27
1314,2024-02-29,6,old,1.7,47.97,4.2,4.5,2:40:27
1315,2024-02-17,2,old,10.4,17.67,3.1,4.9,16:11:23
1316,2024-02-10,6,old,1.7,59.86,4.4,4.5,17:32:20
1317,2024-01-01,12,old,22.3,66.67,4.4,4.5,0:25:53
1318,2024-01-23,17,new,12.8,31.22,4.8,3.8,17:01:22
1319,2024-01-14,13,new,27.6,66.42,4.7,4.6,5:49:10
1320,2024-02-29,10,new,15.4,61.23,3.8,3.6,13:29:56
1321,2024-01-10,10,old,23.2,89.05,3.8,4.8,21:15:23
1322,2024-01-30,10,new,3.1,24.93,3.6,3.6,15:10:41
1323,2024-01-29,6,old,12.5,19.25,4.5,4.9,14:07:10
1324,2024-01-28,19,old,34.9,88.98,4,4.7,7:47:32
1325,2024-02-22,9,old,29.9,29.88,3.3,3.6,7:57:37
1326,2024-02-10,15,new,32.9,69.59,3.1,4.7,23:50:50
1327,2024-01-12,9,old,15.5,26.22,4.9,4.7,19:01:32
1328,2024-01-31,12,old,28.6,8.73,4.3,4.2,23:22:25
1329,2024-01-26,16,new,4.3,79.79,4.4,4.3,15:00:06
1330,2024-02-02,13,old,19.9,18.99,3.2,4.9,13:10:21
1331,2024-01-13,7,old,10.2,32.52,4,3.8,11:30:20
1332,2024-02-12,20,new,34.5,26.93,4,4.4,13:29:27
1333,2024-01-31,15,old,3.1,84.94,4.7,4.6,22:23:14
1334,2024-01-16,11,new,28.5,15.24,4.2,4.5,13:06:47
1335,2024-02-14,2,old,11.6,41.12,3.8,5,2:36:20
1336,2024-02-17,4,new,15.3,76.48,4.7,4.7,9:10:16
1337,2024-02-27,13,new,11.3,16.63,3.4,4,9:27:19
1338,2024-02-02,3,new,26,77.45,4.7,4.9,19:59:07
1339,2024-01-22,20,old,7.3,82.59,3.9,4.7,9:56:06
1340,2024-01-27,10,new,7.8,74.25,4.7,3.5,20:19:45
1341,2024-02-12,15,old,4.3,85.54,4,4.4,8:02:47
1342,2024-01-25,14,old,33.4,58.81,3.5,4.4,23:50:02
1343,2024-02-07,17,new,31.2,65.34,3.4,4,22:08:20
1344,2024-01-28,14,old,26.5,23.58,4.3,4.9,7:25:22
1345,2024-02-14,1,new,33,30.34,4.9,3.6,14:43:35
1346,2024-02-26,18,new,6.3,18.64,4.4,5,1:49:57
1347,2024-02-02,12,new,16.1,56.92,4,4.3,22:26:19
1348,2024-01-09,4,new,34.2,20.45,4.2,4.9,22:08:52
1349,2024-02-11,16,old,24.9,45,4.2,4.6,22:55:21
1350,2024-02-01,2,old,10.2,78.91,4.2,3.9,18:09:43
1351,2024-02-29,6,new,7.3,19.55,3.6,4.5,12:13:29
1352,2024-02-22,1,new,27.2,49.1,4.4,4.1,7:06:18
1353,2024-02-18,19,new,25.4,58.86,3.8,4.9,23:29:15
1354,2024-01-06,20,new,22.4,17.15,4.1,4.3,2:58:26
1355,2024-01-28,8,new,30.2,58.53,3.8,4,13:39:32
1356,2024-01-02,14,old,23.7,17.48,4.9,4.3,17:04:57
1357,2024-02-20,7,old,13.1,16.28,3.1,4.9,9:29:14
1358,2024-02-04,11,old,9.6,11.42,4.2,3.9,16:14:56
1359,2024-01-17,1,old,6.9,80.85,4,4.8,16:07:23
1360,2024-01-15,1,old,15.1,51.75,3.4,4.1,12:31:10
1361,2024-01-13,12,new,25,37.14,3.2,3.9,14:20:33
1362,2024-01-22,1,old,19.9,26.47,3.7,4.3,0:42:50
1363,2024-01-19,18,new,19.1,33.15,3.8,4.6,18:15:37
1364,2024-01-06,12,old,24.8,79.4,3.9,4,0:52:33
1365,2024-01-19,7,old,33.6,52.87,4.1,4.4,19:41:13
1366,2024-01-30,7,new,17.9,43.66,4.3,3.5,2:33:11
1367,2024-02-29,3,new,13.4,30.47,5,3.7,17:40:24
1368,2024-01-26,12,new,23.2,58.11,3.5,4.9,8:58:06
1369,2024-02-01,10,old,12.5,81.68,4.1,3.9,22:11:05
1370,2024-01-16,5,old,19.5,84.6,4.2,4.8,12:50:15
1371,2024-02-13,6,new,20.5,81.88,4.4,4.3,15:24:54
1372,2024-02-18,11,new,7.3,81.16,3,4.6,15:27:06
1373,2024-01-03,2,old,19.4,87.95,3.8,4.8,13:32:20
1374,2024-02-28,8,new,27.8,76.51,4.2,3.9,0:44:38
1375,2024-02-29,19,new,30.9,32.59,3.8,4.1,23:17:28
1376,2024-02-16,3,new,4.9,71,3,3.7,20:42:44
1377,2024-01-26,5,new,1.5,65.3,4.7,4,0:08:47
1378,2024-01-30,16,new,34.4,50.47,3.9,4.7,2:00:11
1379,2024-02-10,12,old,34,68.82,4.6,4.7,23:03:19
1380,2024-01-10,14,new,1.5,87.83,3.3,4.2,22:46:35
1381,2024-02-08,19,new,15.5,40.67,4.7,4.3,3:01:49
1382,2024-02-07,6,old,8.6,59.03,4.2,4.3,18:21:20
1383,2024-02-10,14,new,24.4,30.06,4.7,3.7,7:20:45
1384,2024-01-13,7,new,8.5,14.23,3.2,4.3,13:20:33
1385,2024-02-07,16,new,17.3,57.27,4.2,4.7,5:38:28
1386,2024-02-24,6,new,18.4,19.3,4.9,3.6,14:51:58
1387,2024-02-29,1,old,33.3,76.05,4.5,4.5,8:18:19
1388,2024-02-13,15,old,34.9,19.61,3.3,4.2,9:11:45
1389,2024-02-16,11,new,21,60.5,3.5,4.4,14:31:20
1390,2024-01-03,5,new,2.4,31.75,4,4.1,21:08:50
1391,2024-01-31,1,new,13,38.85,4.1,3.9,12:16:42
1392,2024-02-12,19,old,7.1,61.67,3.9,3.8,15:54:55
1393,2024-01-30,20,old,25.2,43.68,3.2,4.1,7:53:58
1394,2024-02-10,4,new,13.8,20.25,3.7,4.4,17:03:49
1395,2024-02-19,2,new,6.6,77.15,5,3.6,9:16:50
1396,2024-02-03,15,old,24.9,29.1,4,4.2,1:33:48
1397,2024-01-26,14,new,18.8,6.13,3.2,4.6,3:33:22
1398,2024-02-11,6,old,27.2,15.46,4.8,4.2,12:09:45
1399,2024-02-04,1,new,6.5,80.92,4.9,4.8,18:25:13
1400,2024-02-24,16,new,31.7,37.1,3.3,4.2,21:32:34
1401,2024-01-21,15,new,34.6,81.2,4.2,4.9,4:16:28
1402,2024-01-20,1,old,4.6,85.33,3.7,4,18:32:47
1403,2024-02-02,14,old,21.1,53.42,4.6,4.3,3:31:55
1404,2024-01-26,9,new,23.7,9.85,3.2,4.2,23:30:35
1405,2024-01-12,2,old,28.8,57.15,3.6,3.6,8:48:56
1406,2024-02-23,6,new,31,85.49,4.2,3.6,6:12:32
1407,2024-01-17,4,new,11.6,13.47,4.1,4.5,18:16:47
1408,2024-02-23,5,old,12.9,73.44,3.2,5,18:28:54
